epoch,train_loss,train_accuracy,val_loss,val_accuracy,mIoU,f1
1,20.171402558036473,0.5210646055233867,19.860991760924623,0.7344694825319144,0.029144184663891792,0.0454489067196846
2,19.735629662223484,0.7575567824685056,19.629537624317212,0.758593004483443,0.020567195490002632,0.03576445206999779
3,19.6224247476329,0.7747543220934661,19.555803089351443,0.7953447994295058,0.04962138459086418,0.07508520781993866
4,19.546591820924178,0.8015720118647036,19.470376779744914,0.8193690672025575,0.11623941361904144,0.14648807048797607
5,19.489138914191205,0.8106590885183086,19.414670483096614,0.8331007158363258,0.1692783534526825,0.22100158035755157
6,19.41289634289949,0.8170275876055593,19.348817594758756,0.8275809667922638,0.2284703105688095,0.29474496841430664
7,19.34952617728192,0.8253288573544958,19.270205487261762,0.8438351711074075,0.2826131284236908,0.3593035340309143
8,19.292201829993207,0.8343845100506492,19.209225895640614,0.8685042687824794,0.3355869650840759,0.43605172634124756
9,19.228281622347623,0.8435954600572586,19.141588064340446,0.8742117940724551,0.34397780895233154,0.44019290804862976
10,19.171254303144373,0.8512738392404888,19.07586760049338,0.8780459296572339,0.44720518589019775,0.5578397512435913
11,19.09469357780788,0.8681724356568378,18.989760912381687,0.8962313054682134,0.5862566232681274,0.6847764253616333
12,19.036307604416557,0.8791879117488861,18.959407009921232,0.8988865816986168,0.6400831341743469,0.7400193214416504
13,18.994097253550652,0.8884978378596513,18.927650367820657,0.9015540362714412,0.6099100708961487,0.7166955471038818
14,18.9672357103099,0.8912632860567259,18.907378123356747,0.903336131965721,0.6576446294784546,0.7628663778305054
15,18.936920062355373,0.8977639461341111,18.8837463253147,0.9102056426006359,0.6467556953430176,0.7414184808731079
16,18.91548478085062,0.9015301718660023,18.87624113900321,0.9099557484899249,0.6734554767608643,0.771747887134552
17,18.90271817082944,0.9041226409051729,18.86862494919326,0.9115801754888597,0.7381532788276672,0.823701798915863
18,18.892875484798264,0.9008688155723654,18.859424067067575,0.9166176515621144,0.6771864891052246,0.7673767805099487
19,18.88083273431529,0.9058834068153215,18.860074996948242,0.9126403875403352,0.6438168883323669,0.7451057434082031
20,18.869342762490977,0.9090795821469763,18.853855698973266,0.9070687320206191,0.6666406989097595,0.7769715785980225
21,18.863522923511006,0.906946766635646,18.845063450572255,0.9155827158100003,0.6645895838737488,0.7660399079322815
22,18.8510074822799,0.9121321342561556,18.848373350206312,0.9085836096124335,0.7058672308921814,0.8055216670036316
23,18.845338282377824,0.9133667019398316,18.844755109849867,0.9134325136195173,0.6949540376663208,0.791107177734375
24,18.835998286371645,0.9152181789926861,18.843702630682305,0.9192232201387595,0.6533439755439758,0.7535675168037415
25,18.83649081769197,0.9142365008592606,18.847131058409975,0.9135283591983082,0.6743625402450562,0.774931788444519
26,18.82446405161982,0.9177309948465099,18.846356423346553,0.9159467220306396,0.6974239945411682,0.7917724847793579
27,18.820383486540422,0.9158819162327311,18.825526227007856,0.9183296069994078,0.6910176277160645,0.7895322442054749
28,18.81274826630302,0.9194677018600962,18.828343485737896,0.9185771313342419,0.6855753064155579,0.7830429077148438
29,18.809614202250604,0.918897988355678,18.832600080049954,0.9139809562609746,0.6592026948928833,0.7601878643035889
30,18.803484460581902,0.9223364436108134,18.82783053471492,0.9208636323174277,0.6971258521080017,0.7907422780990601
31,18.80809748691061,0.9206927749125854,18.83285046671773,0.9215314807472649,0.6708014011383057,0.7763417959213257
32,18.80258614083995,0.9236190934544024,18.82498380640051,0.9198129157443623,0.6702340245246887,0.7664896845817566
33,18.80467105948407,0.9213740631290104,18.82889095767514,0.9184125825599,0.668501615524292,0.7660782337188721
34,18.796506031699803,0.9236075528289961,18.824667123647835,0.920129752421117,0.6622135639190674,0.7604483962059021
35,18.793744004291035,0.9233020537573359,18.82186439011123,0.9194486743801242,0.6696409583091736,0.7666823267936707
36,18.79123770672342,0.9245156872531642,18.828628037002062,0.9201103782915807,0.6874743103981018,0.7852612733840942
37,18.79045994385429,0.9240491856699404,18.825903756277903,0.9217812661286239,0.6876246929168701,0.7896307110786438
38,18.780976088150688,0.9273495505685392,18.817525633088835,0.9211488510226156,0.6949552297592163,0.7935891151428223
39,18.791771474091902,0.9238851718280626,18.825154105385582,0.9202319809368679,0.7096830010414124,0.8090565204620361
40,18.779805639515754,0.927116814514865,18.820035158932864,0.9175263060318245,0.7030410170555115,0.7897875905036926
41,18.776899835337762,0.9260092170342155,18.819066917503275,0.9186327608077081,0.7022340297698975,0.7964643239974976
42,18.77754957779594,0.9276408579038538,18.817019137707387,0.9159010982775426,0.7000364065170288,0.7906691431999207
43,18.773462606512982,0.9284130976251934,18.820886737697727,0.9186209728429605,0.6641503572463989,0.7566778063774109
44,18.779638373333476,0.9253302903279014,18.815585901449015,0.9207550418245923,0.6934899687767029,0.7899748682975769
45,18.768738186877705,0.9283907212640928,18.824711831061396,0.9221169974777724,0.7182178497314453,0.8125681281089783
46,18.76390861428302,0.9294413814078206,18.819071402916542,0.9234598226599641,0.680036723613739,0.7776367664337158
47,18.7630935129912,0.9303816861432531,18.817843636313636,0.9210895830458337,0.6628472805023193,0.7598448395729065
48,18.7598326102547,0.9322812706232071,18.81519667656867,0.918227826500987,0.6763118505477905,0.7732220888137817
49,18.76380041371221,0.9302989574878112,18.820477978213802,0.9214534320674099,0.6570134162902832,0.759846568107605
50,18.756544838780943,0.932293471434842,18.81704931992751,0.9202741089757982,0.7017459273338318,0.7891300916671753
