epoch,train_loss,train_accuracy,val_loss,val_accuracy,mIoU,f1
1,0.003783119999317695,0.5578349405980628,0.0014594198846780173,0.7394236876414373,0.011631538160145283,0.02121264673769474
2,0.000932187195639531,0.7219382556884185,0.0005807040884814502,0.7159862007413592,0.010954194702208042,0.019573329016566277
3,0.0003795226916933999,0.7096100695755171,0.0002421422822817976,0.7057365434510368,0.011021105572581291,0.0192829892039299
4,0.00022345095314212023,0.703284608281177,0.00019301063602452504,0.7204836960677262,0.012258779257535934,0.02097262442111969
5,0.0001386131300577013,0.7071352847244429,0.00011307455461464597,0.7198566224548842,0.011991376057267189,0.020644502714276314
6,9.892393356257462e-05,0.7070758109507354,8.433811256379289e-05,0.7177054986848936,0.0125373974442482,0.02133333496749401
7,7.200979191269573e-05,0.7079577893018723,5.9030571239898085e-05,0.7097754563604083,0.012414658442139626,0.021258698776364326
8,6.106332258913544e-05,0.7042130737201028,6.158447721755582e-05,0.7146050392926394,0.012898997403681278,0.02189299650490284
9,5.190406605122363e-05,0.7050513949083246,4.7537065476497666e-05,0.7243039470452529,0.0118281040340662,0.02039952017366886
10,3.8832725631041484e-05,0.7069617198861163,4.379362476206702e-05,0.7083802105306269,0.013579189777374268,0.023098252713680267
11,3.1106741615709005e-05,0.706915622820025,3.104588348843198e-05,0.706964855665689,0.01457157637923956,0.024022631347179413
12,2.8174584130006817e-05,0.7044795900583267,3.0022344687425244e-05,0.7049562027166177,0.014460058882832527,0.023897940292954445
13,2.413847313737674e-05,0.7041048375160798,2.9916529956108707e-05,0.7126564717554784,0.013172575272619724,0.02223617397248745
14,2.197731462571107e-05,0.7065440383942231,2.655459011693493e-05,0.7157427904370067,0.014846383593976498,0.024345168843865395
15,1.9309117197221696e-05,0.7046962646038636,2.1679913366065042e-05,0.6999764278694823,0.015926752239465714,0.02572956494987011
16,2.1584340273598766e-05,0.7001014125087986,2.4934949468953054e-05,0.7093490997513572,0.0127806281670928,0.02197854407131672
17,1.7199439644568685e-05,0.7025092658789261,1.8852122913493397e-05,0.7012464207607311,0.01350663136690855,0.02266838401556015
18,1.360116988033279e-05,0.7042599048303522,1.7287915287962168e-05,0.7015902668565184,0.016198674216866493,0.026392074301838875
19,1.1624584139415516e-05,0.7041344279828279,1.4498380936017314e-05,0.6983543215217171,0.017534365877509117,0.027564821764826775
20,1.182894775213398e-05,0.7021412447742794,1.2819696871452175e-05,0.7035163699925601,0.015993671491742134,0.025767389684915543
21,1.1711676625450112e-05,0.7011063753262811,1.0941885638213525e-05,0.6862041458978758,0.015032843686640263,0.024608539417386055
22,9.5411244966153e-06,0.7010710265325464,1.1758536152478632e-05,0.6971546116766039,0.01724991202354431,0.02767002582550049
23,8.542995917947417e-06,0.7022194752226705,1.2606082106815717e-05,0.7109987847097627,0.01478201150894165,0.024304769933223724
24,8.298096215343241e-06,0.7009395652491114,1.0457058544069207e-05,0.7063495366127936,0.014576872810721397,0.024033116176724434
25,7.477642369572688e-06,0.7026923460804898,9.002559831320209e-06,0.7021355570017637,0.01781304180622101,0.02791619300842285
26,6.0328121341389425e-06,0.7047455317300299,9.016297948679434e-06,0.6979238102724264,0.01857103407382965,0.028742143884301186
27,6.1022897442774635e-06,0.7031641583079877,9.730361653255186e-06,0.7101932764053345,0.016918284818530083,0.027581196278333664
28,7.040239361923222e-06,0.7012898565634437,1.4041867861134042e-05,0.7112101853548826,0.014058714732527733,0.02371443808078766
29,6.517794556360889e-06,0.699374746369279,9.072427699041098e-06,0.7091203869044126,0.019102001562714577,0.030831830576062202
30,5.21896561167523e-06,0.7025847966256349,7.754145839259093e-06,0.6997844046288795,0.019493818283081055,0.030597560107707977
31,5.1187406943822484e-06,0.6979585011368212,6.998653866453474e-06,0.6995621035387228,0.017149310559034348,0.0275107454508543
32,4.655838164007551e-06,0.7030399908190188,6.516002498516413e-06,0.6929223897692921,0.019864104688167572,0.030561143532395363
33,4.086785822990983e-06,0.6990399496710819,6.417655508262764e-06,0.6939933719215813,0.020587220788002014,0.031780317425727844
34,3.547023112560055e-06,0.7005475105150886,7.63566660410376e-06,0.706235952429719,0.017810456454753876,0.0282906461507082
35,3.4413330243039484e-06,0.7011232460322587,6.490662486952375e-06,0.6950529099820735,0.020020173862576485,0.031170010566711426
36,3.405471586426717e-06,0.6987581551074982,6.838103912501778e-06,0.7022837059838432,0.018764203414320946,0.029347945004701614
37,3.5075616425650007e-06,0.6988733009151791,8.339815307268649e-06,0.7142957331060054,0.01675090566277504,0.027685754001140594
38,3.536722390584185e-06,0.7010315481735312,5.450760482035348e-06,0.6988901567983103,0.023292379453778267,0.03617214784026146
39,3.180408713354194e-06,0.7007479201192441,5.333093455632039e-06,0.6949707151769282,0.01962248608469963,0.031005630269646645
40,3.612620452525769e-06,0.6985926109811534,6.082847838635124e-06,0.7034204104444483,0.015917042270302773,0.026344487443566322
41,2.756353084172904e-06,0.7015218650517256,6.226953584930695e-06,0.7021992258973174,0.018222518265247345,0.02943492867052555
42,2.781781361086953e-06,0.6990170362203018,4.873082547829244e-06,0.6969188956113962,0.02092771604657173,0.03345208242535591
