epoch,train_loss,train_accuracy,val_loss,val_accuracy,mIoU,f1
1,1.7055113419242527,0.6484084276769705,0.9957032963469789,0.7469908785034012,0.0022675737272948027,0.0043290043249726295
2,0.9703985757153967,0.7490125453990438,0.9543651892588689,0.7469908785034012,0.0022675737272948027,0.0043290043249726295
3,0.9449168631564016,0.7489073250604712,0.9307452879109226,0.7469908785034012,0.0022675737272948027,0.0043290043249726295
4,0.9356128482714944,0.7488107661838117,0.9239380975345989,0.7469908785034012,0.0022675737272948027,0.0043290043249726295
5,0.9162775524284529,0.7492343297471171,0.9140245960308955,0.7469908785034012,0.0022675737272948027,0.0043290043249726295
6,0.9068830670869868,0.749359130859375,0.9040096251519172,0.7469908785034012,0.0022675737272948027,0.0043290043249726295
7,0.8972018710944963,0.749441635997399,0.8941762178808779,0.7469908785034012,0.0022675737272948027,0.0043290043249726295
8,0.8869825967628023,0.7478905682978423,0.8927975493473012,0.7469908785034012,0.0022675737272948027,0.0043290043249726295
9,0.875279526995576,0.7488032449846682,0.8776772546244191,0.7469908785034012,0.0022675737272948027,0.0043290043249726295
10,0.8438902128001918,0.7522849291563034,0.7970146703851092,0.7780950010477842,0.012884538620710373,0.021877817809581757
11,0.7681747658745103,0.7786183175833329,0.7507299954419607,0.7820608294927157,0.017808947712183,0.028022445738315582
12,0.7059078589081764,0.7820663562287455,0.6688455100897904,0.7853173600448357,0.03389942646026611,0.05454228073358536
13,0.6351131728809812,0.7966380384953126,0.6303230330839262,0.7996513332639422,0.059143148362636566,0.08723042160272598
14,0.602235014995803,0.8081406244765157,0.5961426611130054,0.8082989958616403,0.06514911353588104,0.09057919681072235
15,0.5791916234985642,0.8073060804087183,0.581675159407186,0.8043959553425128,0.06507297605276108,0.08825661987066269
16,0.58614623611388,0.8027913395477377,0.5777092540002131,0.8065060665319254,0.0706525519490242,0.09925483912229538
17,0.5557309055457944,0.8094550338776215,0.554068447796853,0.8088739147553077,0.08133012801408768,0.1097913384437561
18,0.5332389619687329,0.8216017925220988,0.544768363564879,0.8225168887075487,0.09899448603391647,0.13167227804660797
19,0.5360884446164836,0.8264162955076798,0.6041459955356934,0.8125738547398493,0.09778688102960587,0.12966011464595795
20,0.5312355257894682,0.8234651950390443,0.5223575981108697,0.8323615861463023,0.1074296310544014,0.1404307782649994
21,0.49984336288078973,0.8343458778184393,0.5112747425561422,0.8359933855769398,0.11068844795227051,0.14714504778385162
22,0.48802396817051846,0.8354552284530972,0.5039329263535175,0.8334391713142395,0.10890084505081177,0.14224447309970856
23,0.4867689039396203,0.8341981561287589,0.5311021585385878,0.8314562832916176,0.10315923392772675,0.133780375123024
24,0.47222861096910806,0.8393778820400652,0.4977089523614108,0.830393203667232,0.0988072082400322,0.12895043194293976
