epoch,train_loss,train_accuracy,val_loss,val_accuracy,mIoU,f1
1,2.9036253612974416,0.26404735576034,2.8312575424110498,0.6021433423508654,0.008895045146346092,0.01622612215578556
2,2.5976761786834053,0.45532753753840277,2.6237018763364017,0.09012543408015927,0.017411187291145325,0.0318995900452137
3,2.362368301205013,0.10775392196829552,2.5582633018493652,0.11874713404820515,0.013866511173546314,0.025196850299835205
4,2.303390163442363,0.15923651214689016,2.3949451001135857,0.24018917961435005,0.030568622052669525,0.052877914160490036
5,2.0874246669852217,0.38053907340635423,2.1995508330208913,0.3632231341613518,0.07137399911880493,0.11503484100103378
6,1.851017713546753,0.47821855156318,1.9001299011838304,0.4192745852601397,0.10554526001214981,0.15888704359531403
7,1.6336011212805044,0.448358710207369,1.658352861037621,0.505028057884384,0.22616945207118988,0.29995250701904297
8,1.4790548565595045,0.4662915043856787,1.855511975812388,0.4450215487689762,0.21227329969406128,0.2945355176925659
9,1.4416921935651614,0.4775957125036613,1.8244365558519469,0.44637853922424736,0.2515624761581421,0.32801148295402527
10,1.3397376375353856,0.49019625459028326,1.5719057557347056,0.539020360498638,0.29811161756515503,0.36591005325317383
11,1.3296678053296132,0.5038797910446706,1.70282751256293,0.5490714223175258,0.3220365643501282,0.4117477238178253
12,1.2903512949528901,0.5195048665222914,1.6297198481612154,0.5302210063724727,0.32742583751678467,0.41754305362701416
13,1.3010195461304292,0.5087405245589174,1.6381984634713813,0.5207417004711026,0.3193890452384949,0.39804303646087646
14,1.19738182231136,0.5002554483387781,1.6392916938760778,0.5194839655043004,0.34765079617500305,0.4455278217792511
15,1.1456327840037968,0.5136037300462308,1.7646448756312276,0.47999799448055225,0.3604898452758789,0.44025322794914246
16,1.1168050046848215,0.5201263664209325,1.4715588145203642,0.5843215168832423,0.33050379157066345,0.42333948612213135
17,1.067847210427989,0.5225668591649636,1.4848119439659537,0.5881232809234451,0.3940413296222687,0.4876479208469391
18,1.050105122120484,0.5281389430165291,1.64782769208426,0.5278516041708516,0.3927118182182312,0.5026068091392517
19,1.0623829863641574,0.5438335738752199,1.572340910251324,0.5134447993157985,0.4627254605293274,0.5744902491569519
20,1.0284459357676299,0.5291050416619881,1.4849470827605697,0.5587114275811793,0.44953030347824097,0.5676429867744446
21,0.9578879242358,0.5411828179722247,1.715794603903215,0.5060655979009775,0.42519861459732056,0.5322192311286926
22,0.964591342145982,0.5114955033945001,1.4499019181335366,0.5772655606269836,0.4579438269138336,0.5598686933517456
23,0.9329548173624537,0.5419626495112544,1.3770472950987764,0.5709270258526226,0.4575626850128174,0.5667446851730347
24,0.9192851095095925,0.5431996396054393,1.4457068299199198,0.5767081373340481,0.6065517663955688,0.6977315545082092
25,0.8922863589680713,0.5303025861149249,2.2332259914377235,0.3922697272929516,0.5481507778167725,0.6513584852218628
26,0.82743339240551,0.539623066459013,1.351241382923755,0.5863269587139507,0.5201855897903442,0.6150444746017456
27,0.8251863238604172,0.5474673470725184,1.4237323816006,0.5770984727602738,0.5598916411399841,0.6754150390625
28,0.8722864674485248,0.5242124586973501,1.686217161325308,0.5252608191836011,0.5900872945785522,0.7097319960594177
29,0.819210271148578,0.5670445250428241,1.4825916866679767,0.5649766289925837,0.6371024250984192,0.7360004186630249
30,0.7677436833796294,0.5688760215821473,1.3682263388738527,0.5901585005141876,0.6816880106925964,0.7747675776481628
31,0.8241867620659911,0.5657499976780104,1.3530971846737705,0.6095421340439345,0.6988943219184875,0.7892325520515442
32,0.7517622521390086,0.5703046091872713,1.423625770505968,0.6042156370131524,0.7320755124092102,0.8218142986297607
33,0.7693826050862022,0.5680715645784917,1.566187634572878,0.5664533995665036,0.7627115845680237,0.85342937707901
34,0.7185642058434694,0.5828825209451758,1.5367028739426163,0.5649043757181901,0.7242510318756104,0.8123557567596436
35,0.7142576325846755,0.5850030073653096,1.558860284941537,0.5882651334280496,0.7700602412223816,0.8504596948623657
36,0.6866508365973182,0.5872263315579166,1.503178025339986,0.5917263342129006,0.7764100432395935,0.8615795373916626
37,0.6633576235693434,0.5961091142633687,1.4021315214398142,0.6054079152725556,0.8220617175102234,0.8912867903709412
38,0.6461129816977874,0.5905906392828278,1.3363358339110574,0.6125110843024411,0.7631497383117676,0.850581169128418
39,0.6539161014168159,0.5721780356505642,1.3458506766256395,0.6073267148746239,0.8097209334373474,0.879686713218689
40,0.6115733022275178,0.6007805145953012,1.4807456967594859,0.5845731929108336,0.7701583504676819,0.8557761311531067
41,0.6149354884805887,0.6001152237472327,1.5380340002395294,0.5871214169067341,0.7504225969314575,0.8388359546661377
42,0.5664930214052615,0.601098199253497,1.4331280045456938,0.5982808981622968,0.7891756892204285,0.8641873598098755
43,0.5515283883913703,0.6053098560027454,1.6268013479945425,0.5871724456876188,0.8073950409889221,0.8822834491729736
44,0.5912645844661671,0.5881936744503353,1.5358422693315443,0.6018917907725324,0.7547169923782349,0.8391860723495483
45,0.5580303400107052,0.6021432504057884,1.4265254644247203,0.6129113317845942,0.7773145437240601,0.8626086711883545
46,0.5387526131842447,0.6173468138212743,1.2017666730251941,0.6425650211480948,0.774077832698822,0.8590095043182373
47,0.5331413149833679,0.6135125066275182,1.3458504382070604,0.6247893172306019,0.8104932308197021,0.8827266097068787
48,0.5072356514308763,0.6132780634190725,1.5582937919176543,0.5955513168822278,0.792083740234375,0.8694273829460144
49,0.5186466548753821,0.6111489097061364,1.1610370736855726,0.6548630438008152,0.802072286605835,0.8776599764823914
50,0.4809757960231408,0.6292806834630345,1.505894518160558,0.615054135794168,0.7912713885307312,0.867153525352478
